city,type,county,state,lat,lng,temperature,cloud,pressure,rain,date,wind_speed,uv_index,aqi,category,dominant_pollutant,date_scraped
Porterville,City,Tulare,california,36.0652,-119.017,48.43,90,1022,0.25,2018-12-07 17:09:00,0.51,2.2,83,Moderate air quality,pm25,2018-12-07 08:58:00
Portola,City,Plumas,california,39.8105,-120.469,31.17,90,1024,0,2018-12-07 17:15:00,1.21,1.72,53,Moderate air quality,pm25,2018-12-07 08:58:00
Portola Valley,Town,San Mateo,california,37.3841,-122.235,48.87,1,1021,0,2018-12-07 17:00:00,1.86,1.94,52,Moderate air quality,pm25,2018-12-07 08:58:00
Poway,City,San Diego,california,32.9628,-117.036,59.34,40,1018,0.25,2018-12-07 17:15:00,1.86,2.7,24,Good air quality,no2,2018-12-07 08:58:00
Rancho Cordova,City,Sacramento,california,38.5891,-121.303,44.06,75,1022,0,2018-12-07 16:58:00,1.16,1.71,61,Moderate air quality,pm25,2018-12-07 08:58:00
Rancho Cucamonga,City,San Bernardino,california,34.1064,-117.593,59.43,1,1019,0,2018-12-07 16:58:00,4.1,2.56,45,Good air quality,no2,2018-12-07 08:58:00
Rancho Palos Verdes,City,Los Angeles,california,33.7445,-118.387,58.24,20,1018,0,2018-12-07 16:58:00,2.61,2.61,27,Good air quality,pm25,2018-12-07 08:58:00
Rancho Santa Margarita,City,Orange,california,33.6402,-117.603,59.07,1,1019,0.25,2018-12-07 17:15:00,2.6,2.61,27,Good air quality,pm25,2018-12-07 08:58:00
Red Bluff,City,Tehama,california,40.1785,-122.236,40.91,1,1022,0,2018-12-07 16:54:00,3.6,1.52,42,Good air quality,pm25,2018-12-07 08:58:00
Redding,City,Shasta,california,40.5865,-122.392,37.94,1,1022,0,2018-12-07 16:55:00,1.5,1.46,104,Unhealthy for sensitive groups air quality,pm25,2018-12-07 08:58:00
Redlands,City,San Bernardino,california,34.0556,-117.183,57.04,1,1019,0.25,2018-12-07 16:58:00,5.1,2.57,59,Moderate air quality,pm25,2018-12-07 08:58:00
Redondo Beach,City,Los Angeles,california,33.8492,-118.388,58.23,1,1018,0,2018-12-07 16:58:00,3.1,2.56,56,Moderate air quality,pm25,2018-12-07 08:58:00
Redwood City,City,San Mateo,california,37.4852,-122.236,48.7,1,1021,0,2018-12-07 17:00:00,1.86,1.94,67,Moderate air quality,pm25,2018-12-07 08:58:00
Reedley,City,Fresno,california,36.5963,-119.45,50.43,90,1022,0,2018-12-07 17:09:00,1.46,2.1,63,Moderate air quality,pm25,2018-12-07 08:58:00
Rialto,City,San Bernardino,california,34.1064,-117.37,58.44,1,1019,0.25,2018-12-07 16:58:00,5.1,2.53,50,Good air quality,pm25,2018-12-07 08:58:00
Richmond,City,Contra Costa,california,37.9358,-122.348,47.53,1,1022,0,2018-12-07 17:00:00,1.86,1.83,65,Moderate air quality,pm25,2018-12-07 08:58:00
Ridgecrest,City,Kern,california,35.6225,-117.671,42.98,40,1022,0,2018-12-07 16:56:00,1.5,2.3,39,Good air quality,pm25,2018-12-07 08:58:00
Rio Dell,City,Humboldt,california,40.4993,-124.106,43.23,1,1021,0,2018-12-07 16:55:00,4.1,1.48,27,Good air quality,pm25,2018-12-07 08:58:00
Rio Vista,City,Solano,california,38.1558,-121.691,45.5,1,1022,0,2018-12-07 17:15:00,2.21,1.77,33,Good air quality,pm25,2018-12-07 08:58:00
Ripon,City,San Joaquin,california,37.7395,-121.135,45.54,90,1022,0,2018-12-07 17:02:00,1.96,1.87,61,Moderate air quality,pm25,2018-12-07 08:58:00
Riverbank,City,Stanislaus,california,37.736,-120.935,46.02,90,1022,0,2018-12-07 17:02:00,1.96,1.87,63,Moderate air quality,pm25,2018-12-07 08:58:00
Riverside,City,Riverside,california,33.9806,-117.375,58.78,1,1019,0.25,2018-12-07 16:58:00,5.1,2.55,55,Moderate air quality,pm25,2018-12-07 08:58:00
Rocklin,City,Placer,california,38.7907,-121.236,45.86,1,1022,0,2018-12-07 17:15:00,1.66,1.71,63,Moderate air quality,pm25,2018-12-07 08:58:00
Rohnert Park,City,Sonoma,california,38.3396,-122.701,44.83,1,1022,0,2018-12-07 16:58:00,1.51,1.76,41,Good air quality,pm25,2018-12-07 08:58:00
Rolling Hills,City,Los Angeles,california,33.757,-118.354,58.35,20,1018,0,2018-12-07 16:58:00,2.61,2.56,27,Good air quality,pm25,2018-12-07 08:58:00
Rolling Hills Estates,City,Los Angeles,california,33.7878,-118.358,58.23,20,1018,0,2018-12-07 16:58:00,2.61,2.56,47,Good air quality,pm25,2018-12-07 08:58:00
Rosemead,City,Los Angeles,california,34.0806,-118.073,58.8,1,1018,0,2018-12-07 16:58:00,3.6,2.53,53,Moderate air quality,pm25,2018-12-07 08:58:00
Roseville,City,Placer,california,38.7521,-121.288,45.86,90,1023,0,2018-12-07 17:15:00,1.66,1.68,66,Moderate air quality,pm25,2018-12-07 08:58:00
Ross,Town,Marin,california,37.9624,-122.555,47.66,1,1022,0,2018-12-07 17:00:00,1.86,1.83,55,Moderate air quality,pm10,2018-12-07 08:58:00
Sacramento,City,Sacramento,california,38.5816,-121.494,44.92,1,1022,0,2018-12-07 17:15:00,1.16,1.71,69,Moderate air quality,pm25,2018-12-07 08:58:00
St. Helena,City,Napa,california,38.5052,-122.47,44.78,1,1022,0,2018-12-07 16:58:00,1.51,1.73,44,Good air quality,pm25,2018-12-07 08:58:00
Salinas,City,Monterey,california,36.6777,-121.656,48.56,1,1021,0,2018-12-07 16:55:00,5.1,2.08,57,Moderate air quality,pm25,2018-12-07 08:58:00
San Anselmo,Town,Marin,california,37.9746,-122.562,47.66,1,1022,0,2018-12-07 17:00:00,1.86,1.83,55,Moderate air quality,pm10,2018-12-07 08:58:00
San Bernardino,City,San Bernardino,california,34.1083,-117.29,55.63,1,1019,0.25,2018-12-07 16:58:00,5.1,2.53,48,Good air quality,pm25,2018-12-07 08:58:00
San Diego,City,San Diego,california,32.7157,-117.161,60.37,20,1018,0,2018-12-07 16:56:00,1.86,2.74,62,Moderate air quality,pm25,2018-12-07 08:58:00
San Fernando,City,Los Angeles,california,34.2819,-118.439,57.88,1,1018,0,2018-12-07 17:10:00,1.5,2.55,57,Moderate air quality,pm25,2018-12-07 08:58:00
San Gabriel,City,Los Angeles,california,34.0961,-118.106,58.96,1,1018,0,2018-12-07 16:58:00,1.5,2.53,52,Moderate air quality,pm25,2018-12-07 08:58:00
San Jacinto,City,Riverside,california,33.7839,-116.959,57.27,1,1019,0.25,2018-12-07 17:15:00,2.6,2.6,58,Moderate air quality,pm25,2018-12-07 08:58:00
San Joaquin,City,Fresno,california,36.6066,-120.189,49.51,75,1022,0,2018-12-07 17:09:00,1.96,2.08,54,Moderate air quality,pm25,2018-12-07 08:58:00
San Jose,City,Santa Clara,california,37.3382,-121.886,48.92,75,1021,0,2018-12-07 17:15:00,2.1,1.92,68,Moderate air quality,pm25,2018-12-07 08:58:00
San Juan Bautista,City,San Benito,california,36.8455,-121.538,48.67,1,1021,0,2018-12-07 16:55:00,1.86,2.02,26,Good air quality,pm25,2018-12-07 08:58:00
San Juan Capistrano,City,Orange,california,33.5019,-117.663,59.07,1,1019,0.25,2018-12-07 17:15:00,2.6,2.61,52,Moderate air quality,pm25,2018-12-07 08:58:00
San Leandro,City,Alameda,california,37.7249,-122.156,48.27,75,1021,0,2018-12-07 17:15:00,2.6,1.86,52,Moderate air quality,pm25,2018-12-07 08:58:00
San Luis Obispo,City,San Luis Obispo,california,35.2828,-120.66,50.59,1,1020,0,2018-12-07 16:56:00,1.76,2.37,22,Good air quality,pm25,2018-12-07 08:58:00
San Marcos,City,San Diego,california,33.1434,-117.166,59.79,1,1019,0.25,2018-12-07 17:15:00,2.6,2.67,33,Good air quality,pm25,2018-12-07 08:58:00
San Marino,City,Los Angeles,california,34.1214,-118.106,57.81,1,1018,0,2018-12-07 17:10:00,1.5,2.53,51,Moderate air quality,pm25,2018-12-07 08:58:00
San Mateo,City,San Mateo,california,37.563,-122.326,49.24,75,1021,0,2018-12-07 17:15:00,1.5,1.88,69,Moderate air quality,pm25,2018-12-07 08:58:00
San Pablo,City,Contra Costa,california,37.9621,-122.346,47.53,1,1022,0,2018-12-07 17:00:00,1.86,1.83,63,Moderate air quality,pm25,2018-12-07 08:58:00
San Rafael,City,Marin,california,37.9735,-122.531,47.39,1,1022,0,2018-12-07 17:00:00,1.86,1.83,63,Moderate air quality,pm10,2018-12-07 08:58:00
San Ramon,City,Contra Costa,california,37.7799,-121.978,47.7,1,1021,0,2018-12-07 17:02:00,1.5,1.84,55,Moderate air quality,pm25,2018-12-07 08:58:00
Sand City,City,Monterey,california,36.6172,-121.848,48.52,1,1021,0,2018-12-07 16:55:00,2.1,2.07,25,Good air quality,pm25,2018-12-07 08:58:00
Sanger,City,Fresno,california,36.708,-119.556,49.57,90,1022,0,2018-12-07 17:09:00,1.46,2.1,64,Moderate air quality,pm25,2018-12-07 08:58:00
Santa Ana,City,Orange,california,33.7455,-117.868,58.23,20,1018,0,2018-12-07 16:58:00,1.5,2.57,53,Moderate air quality,pm25,2018-12-07 08:58:00
Santa Barbara,City,Santa Barbara,california,34.4208,-119.698,56.25,1,1020,0,2018-12-07 17:15:00,0.46,2.52,53,Moderate air quality,pm25,2018-12-07 08:58:00
Santa Clara,City,Santa Clara,california,37.3541,-121.955,48.92,75,1021,0,2018-12-07 17:15:00,2.1,1.92,63,Moderate air quality,pm25,2018-12-07 08:58:00
Santa Clarita,City,Los Angeles,california,34.3917,-118.543,55.47,40,1022,0,2018-12-07 17:10:00,3.6,2.53,15,Good air quality,o3,2018-12-07 08:58:00
Santa Cruz,City,Santa Cruz,california,36.9741,-122.031,48.02,1,1021,0,2018-12-07 16:56:00,1.51,2.02,60,Moderate air quality,pm25,2018-12-07 08:58:00
Santa Fe Springs,City,Los Angeles,california,33.9472,-118.085,58.5,1,1018,0,2018-12-07 16:58:00,3.6,2.55,48,Good air quality,pm25,2018-12-07 08:58:00
Santa Maria,City,Santa Barbara,california,34.953,-120.436,50.45,1,1020,0,2018-12-07 17:15:00,2.31,2.44,49,Good air quality,pm25,2018-12-07 08:58:00
Santa Monica,City,Los Angeles,california,34.0195,-118.491,58.62,20,1018,0,2018-12-07 16:58:00,3.6,2.53,59,Moderate air quality,pm25,2018-12-07 08:58:00
Santa Paula,City,Ventura,california,34.3542,-119.059,57.81,20,1019,0,2018-12-07 16:57:00,6.2,2.53,56,Moderate air quality,pm25,2018-12-07 08:58:00
Santa Rosa,City,Sonoma,california,38.4404,-122.714,44.91,1,1022,0,2018-12-07 16:55:00,2.41,1.76,62,Moderate air quality,pm25,2018-12-07 08:58:00
Santee,City,San Diego,california,32.8384,-116.974,60.13,40,1018,0,2018-12-07 17:15:00,1.86,2.73,41,Good air quality,pm25,2018-12-07 08:58:00
Saratoga,City,Santa Clara,california,37.2638,-122.023,48.83,1,1021,0,2018-12-07 17:00:00,1.51,1.94,46,Good air quality,pm25,2018-12-07 08:58:00
Sausalito,City,Marin,california,37.8591,-122.485,47.68,75,1021,0,2018-12-07 17:00:00,1.5,1.83,57,Moderate air quality,pm10,2018-12-07 08:58:00
Scotts Valley,City,Santa Cruz,california,37.0511,-122.015,49.26,1,1021,0,2018-12-07 17:00:00,1.51,2.0,31,Good air quality,pm25,2018-12-07 08:58:00
Seal Beach,City,Orange,california,33.7414,-118.105,58.5,1,1018,0,2018-12-07 16:58:00,3.6,2.6,38,Good air quality,pm25,2018-12-07 08:58:00
Seaside,City,Monterey,california,36.6149,-121.822,48.52,1,1021,0,2018-12-07 16:55:00,2.1,2.07,41,Good air quality,pm25,2018-12-07 08:58:00
Sebastopol,City,Sonoma,california,38.4021,-122.824,44.92,1,1022,0,2018-12-07 16:55:00,2.41,1.75,57,Moderate air quality,pm25,2018-12-07 08:58:00
Selma,City,Fresno,california,36.5708,-119.612,49.57,90,1022,0,2018-12-07 17:09:00,1.46,2.1,70,Moderate air quality,pm25,2018-12-07 08:58:00
Shafter,City,Kern,california,35.5005,-119.272,46.54,90,1021,0.25,2018-12-07 17:17:00,1.81,2.28,68,Moderate air quality,pm25,2018-12-07 08:58:00
Shasta Lake,City,Shasta,california,40.6804,-122.371,38.03,1,1022,0,2018-12-07 16:55:00,1.5,1.46,79,Moderate air quality,pm25,2018-12-07 08:58:00
Sierra Madre,City,Los Angeles,california,34.1617,-118.053,57.81,1,1018,0,2018-12-07 17:10:00,1.5,2.53,53,Moderate air quality,pm25,2018-12-07 08:58:00
Signal Hill,City,Los Angeles,california,33.8045,-118.168,58.5,1,1018,0,2018-12-07 16:58:00,3.1,2.55,57,Moderate air quality,pm25,2018-12-07 08:58:00
Simi Valley,City,Ventura,california,34.2694,-118.781,58.84,20,1019,0,2018-12-07 16:57:00,6.2,2.53,21,Good air quality,o3,2018-12-07 08:58:00
Solana Beach,City,San Diego,california,32.9912,-117.271,59.79,1,1019,0.25,2018-12-07 17:15:00,2.6,2.73,43,Good air quality,pm25,2018-12-07 08:58:00
Soledad,City,Monterey,california,36.4247,-121.326,49.46,1,1021,0,2018-12-07 16:55:00,5.1,2.16,59,Moderate air quality,pm25,2018-12-07 08:58:00
Solvang,City,Santa Barbara,california,34.5958,-120.138,52.3,1,1020,0,2018-12-07 17:15:00,1.51,2.49,27,Good air quality,pm25,2018-12-07 08:58:00
Sonoma,City,Sonoma,california,38.2919,-122.458,45.7,1,1022,0,2018-12-07 16:58:00,1.51,1.76,52,Moderate air quality,pm25,2018-12-07 08:58:00
Sonora,City,Tuolumne,california,37.9829,-120.382,46.98,90,1022,0,2018-12-07 17:29:00,1.5,1.88,73,Moderate air quality,pm25,2018-12-07 08:58:00
South El Monte,City,Los Angeles,california,34.052,-118.047,58.96,1,1018,0,2018-12-07 16:58:00,3.1,2.53,53,Moderate air quality,pm25,2018-12-07 08:58:00
South Gate,City,Los Angeles,california,33.9547,-118.212,58.5,1,1018,0,2018-12-07 16:58:00,3.1,2.55,58,Moderate air quality,pm25,2018-12-07 08:58:00
South Lake Tahoe,City,El Dorado,california,38.9399,-119.977,29.59,1,1021,0,2018-12-07 16:55:00,0.61,1.9,30,Good air quality,pm25,2018-12-07 08:58:00
South Pasadena,City,Los Angeles,california,34.1161,-118.15,57.87,1,1018,0,2018-12-07 17:10:00,1.5,2.53,52,Moderate air quality,pm25,2018-12-07 08:58:00
South San Francisco,City,San Mateo,california,37.6547,-122.408,48.16,75,1021,0,2018-12-07 17:00:00,1.5,1.88,67,Moderate air quality,pm25,2018-12-07 08:58:00
Stanton,City,Orange,california,33.8029,-117.993,58.24,1,1018,0,2018-12-07 16:58:00,3.6,2.54,37,Good air quality,pm25,2018-12-07 08:58:00
Stockton,City,San Joaquin,california,37.9577,-121.291,45.55,90,1022,0,2018-12-07 17:29:00,1.5,1.82,93,Moderate air quality,pm25,2018-12-07 08:58:00
Suisun City,City,Solano,california,38.2382,-122.04,45.97,1,1022,0,2018-12-07 17:15:00,2.21,1.79,29,Good air quality,pm10,2018-12-07 08:58:00
Sunnyvale,City,Santa Clara,california,37.3688,-122.036,48.81,1,1021,0,2018-12-07 17:00:00,1.51,1.94,64,Moderate air quality,pm25,2018-12-07 08:58:00
Susanville,City,Lassen,california,40.4163,-120.653,32.0,90,1024,0,2018-12-07 17:15:00,1.31,1.63,39,Good air quality,pm25,2018-12-07 08:58:00
Sutter Creek,City,Amador,california,38.393,-120.802,46.26,1,1021,0,2018-12-07 17:15:00,3.1,1.77,69,Moderate air quality,pm25,2018-12-07 08:58:00
Taft,City,Kern,california,35.1425,-119.457,46.94,90,1021,0,2018-12-07 17:17:00,1.81,2.4,55,Moderate air quality,pm25,2018-12-07 08:58:00
Tehachapi,City,Kern,california,35.1322,-118.449,46.54,90,1021,0,2018-12-07 17:17:00,4.6,2.52,43,Good air quality,pm25,2018-12-07 08:58:00
Tehama,City,Tehama,california,40.0271,-122.123,40.89,1,1022,0,2018-12-07 16:54:00,3.6,1.52,23,Good air quality,pm25,2018-12-07 08:58:00
Temecula,City,Riverside,california,33.4936,-117.148,58.15,1,1019,0.25,2018-12-07 17:15:00,2.6,2.63,52,Moderate air quality,pm25,2018-12-07 08:58:00
Temple City,City,Los Angeles,california,34.1072,-118.058,58.96,1,1018,0,2018-12-07 16:58:00,3.1,2.53,41,Good air quality,pm25,2018-12-07 08:58:00
Thousand Oaks,City,Ventura,california,34.1706,-118.838,58.82,20,1019,0,2018-12-07 16:57:00,6.2,2.55,49,Good air quality,pm25,2018-12-07 08:58:00
Tiburon,Town,Marin,california,37.8735,-122.457,47.68,75,1021,0,2018-12-07 17:00:00,1.5,1.83,59,Moderate air quality,pm10,2018-12-07 08:58:00
Torrance,City,Los Angeles,california,33.8358,-118.341,58.5,1,1018,0,2018-12-07 16:58:00,3.1,2.56,35,Good air quality,pm25,2018-12-07 08:58:00
Tracy,City,San Joaquin,california,37.7397,-121.425,47.8,90,1022,0,2018-12-07 17:29:00,1.5,1.88,58,Moderate air quality,pm25,2018-12-07 08:58:00
Trinidad,City,Humboldt,california,41.0593,-124.143,42.75,20,1020,0,2018-12-07 16:55:00,2.6,1.38,30,Good air quality,pm25,2018-12-07 08:58:00
Truckee,Town,Nevada,california,39.328,-120.183,29.08,90,1023,0,2018-12-07 16:55:00,1.5,1.81,60,Moderate air quality,pm25,2018-12-07 08:58:00
Tulare,City,Tulare,california,36.2077,-119.347,48.74,90,1022,0.25,2018-12-07 17:22:00,1.21,2.19,84,Moderate air quality,pm25,2018-12-07 08:58:00
Tulelake,City,Siskiyou,california,41.956,-121.477,19.94,75,1021,0,2018-12-07 16:53:00,1.86,1.38,61,Moderate air quality,pm25,2018-12-07 08:58:00
Turlock,City,Stanislaus,california,37.4947,-120.847,46.53,90,1022,0,2018-12-07 17:02:00,2.01,1.92,79,Moderate air quality,pm25,2018-12-07 08:58:00
Tustin,City,Orange,california,33.742,-117.824,58.26,20,1018,0.25,2018-12-07 17:15:00,1.5,2.57,23,Good air quality,no2,2018-12-07 08:58:00
Twentynine Palms,City,San Bernardino,california,34.1356,-116.054,48.92,90,1023,0,2018-12-07 16:56:00,2.6,2.52,43,Good air quality,pm25,2018-12-07 08:58:00
Ukiah,City,Mendocino,california,39.1502,-123.208,39.02,90,1023,0,2018-12-07 17:13:00,1.26,1.67,75,Moderate air quality,pm25,2018-12-07 08:58:00
Union City,City,Alameda,california,37.5934,-122.044,48.87,1,1021,0,2018-12-07 17:15:00,1.5,1.86,51,Moderate air quality,pm25,2018-12-07 08:58:00
Upland,City,San Bernardino,california,34.0975,-117.648,58.77,1,1019,0,2018-12-07 16:58:00,4.1,2.56,48,Good air quality,pm25,2018-12-07 08:58:00
Vacaville,City,Solano,california,38.3566,-121.988,44.51,1,1022,0,2018-12-07 17:15:00,2.1,1.74,52,Moderate air quality,pm25,2018-12-07 08:58:00
Vallejo,City,Solano,california,38.1041,-122.257,47.32,1,1022,0,2018-12-07 17:15:00,3.1,1.79,69,Moderate air quality,pm25,2018-12-07 08:58:00
Ventura,City,Ventura,california,34.2805,-119.295,59.25,1,1019,0,2018-12-07 16:57:00,3.1,2.53,56,Moderate air quality,pm25,2018-12-07 08:58:00
Vernon,City,Los Angeles,california,34.0039,-118.23,58.5,1,1018,0,2018-12-07 16:58:00,3.1,2.53,57,Moderate air quality,pm25,2018-12-07 08:58:00
Victorville,City,San Bernardino,california,34.5362,-117.293,46.4,75,1021,0,2018-12-07 16:58:00,1.31,2.49,54,Moderate air quality,pm25,2018-12-07 08:58:00
Villa Park,City,Orange,california,33.814,-117.822,58.37,1,1018,0.25,2018-12-07 16:58:00,3.6,2.54,43,Good air quality,pm25,2018-12-07 08:58:00
Visalia,City,Tulare,california,36.3302,-119.292,49.87,90,1022,0.25,2018-12-07 17:22:00,1.46,2.15,82,Moderate air quality,pm25,2018-12-07 08:58:00
Vista,City,San Diego,california,33.2,-117.243,59.56,1,1019,0.25,2018-12-07 17:15:00,2.6,2.67,48,Good air quality,pm25,2018-12-07 08:58:00
Walnut,City,Los Angeles,california,34.0203,-117.865,59.11,1,1018,0,2018-12-07 16:58:00,3.1,2.54,38,Good air quality,pm25,2018-12-07 08:58:00
Walnut Creek,City,Contra Costa,california,37.9101,-122.065,47.86,1,1022,0,2018-12-07 17:15:00,1.76,1.84,61,Moderate air quality,pm25,2018-12-07 08:58:00
Wasco,City,Kern,california,35.5941,-119.341,46.56,90,1021,0.25,2018-12-07 17:17:00,1.81,2.28,60,Moderate air quality,pm25,2018-12-07 08:58:00
Waterford,City,Stanislaus,california,37.6413,-120.76,45.55,90,1022,0,2018-12-07 17:02:00,1.91,1.87,72,Moderate air quality,pm25,2018-12-07 08:58:00
Watsonville,City,Santa Cruz,california,36.9102,-121.757,48.63,1,1021,0,2018-12-07 16:56:00,1.51,2.01,58,Moderate air quality,pm25,2018-12-07 08:58:00
Weed,City,Siskiyou,california,41.4226,-122.386,27.73,1,1021,0,2018-12-07 16:56:00,1.01,1.43,69,Moderate air quality,pm25,2018-12-07 08:58:00
West Covina,City,Los Angeles,california,34.0686,-117.939,58.64,1,1018,0,2018-12-07 16:58:00,3.1,2.54,58,Moderate air quality,pm25,2018-12-07 08:58:00
West Hollywood,City,Los Angeles,california,34.09,-118.362,58.86,1,1018,0,2018-12-07 16:58:00,1.5,2.53,54,Moderate air quality,pm25,2018-12-07 08:58:00
West Sacramento,City,Yolo,california,38.5805,-121.53,45.5,90,1023,0,2018-12-07 17:15:00,2.21,1.71,57,Moderate air quality,pm25,2018-12-07 08:58:00
Westlake Village,City,Los Angeles,california,34.1466,-118.807,58.84,20,1019,0,2018-12-07 16:57:00,6.2,2.55,22,Good air quality,o3,2018-12-07 08:58:00
Westminster,City,Orange,california,33.7592,-117.99,58.24,1,1018,0,2018-12-07 16:58:00,3.6,2.54,50,Good air quality,pm25,2018-12-07 08:58:00
Westmorland,City,Imperial,california,33.0373,-115.621,55.92,75,1020,0,2018-12-07 17:15:00,2.6,2.57,61,Moderate air quality,pm25,2018-12-07 08:58:00
Wheatland,City,Yuba,california,39.0099,-121.423,44.85,1,1022,0,2018-12-07 17:15:00,1.66,1.65,43,Good air quality,pm25,2018-12-07 08:58:00
Whittier,City,Los Angeles,california,33.9792,-118.033,59.5,1,1018,0,2018-12-07 16:58:00,3.1,2.55,49,Good air quality,pm25,2018-12-07 08:58:00
Wildomar,City,Riverside,california,33.5989,-117.28,58.3,1,1019,0.25,2018-12-07 17:15:00,2.6,2.61,17,Good air quality,pm25,2018-12-07 08:58:00
Williams,City,Colusa,california,39.1546,-122.149,44.04,1,1022,0,2018-12-07 16:58:00,1.71,1.63,64,Moderate air quality,pm25,2018-12-07 08:58:00
Willits,City,Mendocino,california,39.4096,-123.356,39.02,90,1023,0,2018-12-07 17:13:00,1.31,1.63,66,Moderate air quality,pm25,2018-12-07 08:58:00
Willows,City,Glenn,california,39.5243,-122.194,42.98,1,1022,0,2018-12-07 16:53:00,1.5,1.57,27,Good air quality,pm25,2018-12-07 08:58:00
Windsor,Town,Sonoma,california,38.5471,-122.816,45.5,1,1022,0,2018-12-07 17:15:00,1.5,1.71,55,Moderate air quality,pm25,2018-12-07 08:58:00
Winters,City,Yolo,california,38.5249,-121.971,44.13,1,1022,0,2018-12-07 17:15:00,1.5,1.71,35,Good air quality,pm25,2018-12-07 08:58:00
Woodlake,City,Tulare,california,36.4136,-119.099,50.04,90,1022,0.25,2018-12-07 17:15:00,1.46,2.15,65,Moderate air quality,pm25,2018-12-07 08:58:00
Woodland,City,Yolo,california,38.6785,-121.773,44.74,90,1023,0,2018-12-07 17:15:00,2.21,1.71,64,Moderate air quality,pm25,2018-12-07 08:58:00
Woodside,Town,San Mateo,california,37.4299,-122.254,48.87,1,1021,0,2018-12-07 17:00:00,1.86,1.93,63,Moderate air quality,pm25,2018-12-07 08:58:00
Yorba Linda,City,Orange,california,33.8885,-117.813,59.11,1,1019,0,2018-12-07 16:58:00,4.1,2.54,35,Good air quality,pm25,2018-12-07 08:58:00
Yountville,Town,Napa,california,38.4016,-122.361,45.03,1,1022,0,2018-12-07 17:15:00,1.5,1.76,28,Good air quality,pm25,2018-12-07 08:58:00
Yreka,City,Siskiyou,california,41.7354,-122.634,25.65,20,1022,0,2018-12-07 16:56:00,1.26,1.37,60,Moderate air quality,pm25,2018-12-07 08:58:00
Yuba City,City,Sutter,california,39.1404,-121.617,44.55,1,1022,0,2018-12-07 17:15:00,2.71,1.64,59,Moderate air quality,pm25,2018-12-07 08:58:00
Yucaipa,City,San Bernardino,california,34.0336,-117.043,57.06,1,1019,0.25,2018-12-07 16:58:00,5.1,2.57,52,Moderate air quality,pm25,2018-12-07 08:58:00
Yucca Valley,Town,San Bernardino,california,34.1142,-116.432,48.92,90,1023,0,2018-12-07 16:56:00,2.6,2.55,33,Good air quality,pm25,2018-12-07 08:58:00
